#古籍字	Unicode	序号
蹱	08E71	01256
抽	062BD	01257
眣	07723	01258
㨨	03A28	01259
搊	0640A	01260
㮲	03BB2	01261
篘	07BD8	01262
瘳	07633	01263
犨	072A8	01264
犫	072AB	01265
怞	0601E	01266
菗	083D7	01267
惆	060C6	01268
紬	07D2C	01269
椆	06906	01270
酬	0916C	01271
稠	07A20	01272
愁	06101	01273
詶	08A76	01274
裯	088EF	01275
綢	07DA2	01276
𨞪	287AA	01277
儔	05114	01278
鮋	09B8B	01279
㵞	03D5E	01280
薵	085B5	01281
幬	05E6C	01282
懤	061E4	01283
檮	06AAE	01284
疇	07587	01285
籌	07C4C	01286
醻	091BB	01287
躊	08E8A	01288
魗	09B57	01289
讎	08B8E	01290
𪇘	2A1D8	01291
䲖	04C96	01292
丑	04E11	01293
偢	05062	01294
瞅	07785	01295
醜	0919C	01296
溴	06EB4	01297
殠	06BA0	01298
出	051FA	01299
初	0521D	01300
摴	06474	01301
𩨸	29A38	01302
樗	06A17	01303
貙	08C99	01304
齣	09F63	01305
除	09664	01306
芻	082BB	01307
蒢	084A2	01308
滁	06EC1	01309
耡	08021	01310
趎	08D8E	01311
蓫	084EB	01312
蒭	084AD	01313
蜍	0870D	01314
鉏	0924F	01315
犓	07293	01316
䅳	04173	01317
篨	07BE8	01318
鋤	092E4	01319
廚	05EDA	01320
藸	085F8	01321
躇	08E87	01322
䠧	04827	01323
幮	05E6E	01324
雛	096DB	01325
櫥	06AE5	01326
鶵	09DB5	01327
躕	08E95	01328
杵	06775	01329
處	08655	01330
楮	0696E	01331
楚	0695A	01332
濋	06FCB	01333
儲	05132	01334
礎	0790E	01335
𪓐	2A4D0	01336
齼	09F7C	01337
亍	04E8D	01338
怵	06035	01339
㤕	03915	01340
炪	070AA	01341
俶	04FF6	01342
畜	0755C	01343
絀	07D40	01344
琡	07421	01345
䟣	047E3	01346
傗	05097	01347
鄐	09110	01348
搐	06410	01349
滀	06EC0	01350
閦	095A6	01351
諔	08AD4	01352
歜	06B5C	01353
黜	09EDC	01354
斶	065B6	01355
臅	081C5	01356
觸	089F8	01357
矗	077D7	01358
䫄	04AC4	01359
搋	0640B	01360
揣	063E3	01361
嘬	0562C	01362
川	05DDD	01363
